时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2018-01-02 16:00:00,0.98,-0.01,0,-10.27,97583,0,-0.98
2018-01-03 16:00:00,1.87,0.98,990,0,0,0,-0.87
2018-01-04 16:00:00,2.24,1.27,286.62,0,19992,-20292,-0.95
2018-01-05 16:00:00,1.93,3.12,1854,0,0,0,1.17
2018-01-08 16:00:00,2.13,2.14,0,-977.27,19950,-20992,0.01
2018-01-09 16:00:00,2.29,2.66,512.32,0,18630,-20068,0.36
2018-01-10 16:00:00,1.84,2.33,0,-325.6,0,-97386,0.48
2018-01-11 16:00:00,2.43,2.33,0,0,0,0,-0.1
2018-01-12 16:00:00,2.09,2.33,0,0,0,0,0.24
2018-01-15 16:00:00,-0.1,2.33,0,0,0,0,2.43
2018-01-16 16:00:00,0.2,2.33,0,0,0,0,2.13
2018-01-17 16:00:00,-0.29,2.33,0,0,0,0,2.63
2018-01-18 16:00:00,-0.07,2.33,0,0,0,0,2.4
2018-01-19 16:00:00,-0.13,2.33,0,0,0,0,2.46
2018-01-22 16:00:00,0.97,2.33,0,0,0,0,1.35
2018-01-23 16:00:00,1.21,2.94,607.36,0,98813,0,1.71
2018-01-24 16:00:00,1.56,3.63,692,0,0,0,2.04
2018-01-25 16:00:00,1.31,3.51,0,-120.58,20322,-19600,2.17
2018-01-26 16:00:00,0.96,2.48,0,-1026,0,0,1.51
2018-01-29 16:00:00,-0.45,1.05,0,-1429,0,0,1.51
2018-01-30 16:00:00,-0.51,0.39,0,-660.12,0,-97787,0.9
2018-01-31 16:00:00,-2.22,0.39,0,0,0,0,2.67
2018-02-01 16:00:00,-5.35,0.39,0,0,0,0,6.06
2018-02-02 16:00:00,-5.23,0.39,0,0,0,0,5.93
2018-02-05 16:00:00,-5.84,0.39,0,0,0,0,6.62
2018-02-06 16:00:00,-9.88,0.39,0,0,0,0,11.4
2018-02-07 16:00:00,-10.14,0.39,0,0,0,0,11.72
2018-02-08 16:00:00,-8.78,0.39,0,0,0,0,10.05
2018-02-09 16:00:00,-11.39,0.39,0,0,0,0,13.29
2018-02-12 16:00:00,-9.03,0.39,0,0,0,0,10.36
